"ionic_strength_case","lambda_D_nm","linker_distance_nm","concentration_pM","alpha_0","alpha_eff","noise_floor_A","noise_floor_pA","Kd_pM","N_bound","DeltaIds_screened_A","DeltaIds_screened_pA","LOD_screened_pM","detectable_screened","scientific_conclusion"
"low_ionic_strength","9.6","1","0.5","0.01","0.00901075105721291","1E-11","10","10","8.36133875432868","1.50888873831349E-11","15.0888873831349","1.8958236554909","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","1","0.01","0.00901075105721291","1E-11","10","10","16.0514034804785","2.89663924132739E-11","28.9663924132739","1.8958236554909","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","10","0.01","0.00901075105721291","1E-11","10","10","93.1840859531965","1.68160173886058E-10","168.160173886058","1.8958236554909","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","100","0.01","0.00901075105721291","1E-11","10","10","179.384876805256","3.2371828051468E-10","323.71828051468","1.8958236554909","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1000","0.01","0.00901075105721291","1E-11","10","10","197.67057401879","3.56716683531694E-10","356.716683531694","1.8958236554909","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","0.5","0.01","0.00901075105721291","5E-11","50","10","8.36133875432868","1.50888873831349E-11","15.0888873831349","9.47911827745449","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","1","0.01","0.00901075105721291","5E-11","50","10","16.0514034804785","2.89663924132739E-11","28.9663924132739","9.47911827745449","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","10","0.01","0.00901075105721291","5E-11","50","10","93.1840859531965","1.68160173886058E-10","168.160173886058","9.47911827745449","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","100","0.01","0.00901075105721291","5E-11","50","10","179.384876805256","3.2371828051468E-10","323.71828051468","9.47911827745449","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1000","0.01","0.00901075105721291","5E-11","50","10","197.67057401879","3.56716683531694E-10","356.716683531694","9.47911827745449","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","0.5","0.03","0.0270322531716387","1E-11","10","10","8.36133875432868","4.52666621494047E-11","45.2666621494047","0.631941218496966","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1","0.03","0.0270322531716387","1E-11","10","10","16.0514034804785","8.68991772398216E-11","86.8991772398216","0.631941218496966","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","10","0.03","0.0270322531716387","1E-11","10","10","93.1840859531965","5.04480521658173E-10","504.480521658173","0.631941218496966","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","100","0.03","0.0270322531716387","1E-11","10","10","179.384876805256","9.71154841544041E-10","971.154841544041","0.631941218496966","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1000","0.03","0.0270322531716387","1E-11","10","10","197.67057401879","1.07015005059508E-09","1070.15005059508","0.631941218496966","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","0.5","0.03","0.0270322531716387","5E-11","50","10","8.36133875432868","4.52666621494047E-11","45.2666621494047","3.15970609248483","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","1","0.03","0.0270322531716387","5E-11","50","10","16.0514034804785","8.68991772398216E-11","86.8991772398216","3.15970609248483","False","screened signal falls below threshold"
"low_ionic_strength","9.6","1","10","0.03","0.0270322531716387","5E-11","50","10","93.1840859531965","5.04480521658173E-10","504.480521658173","3.15970609248483","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","100","0.03","0.0270322531716387","5E-11","50","10","179.384876805256","9.71154841544041E-10","971.154841544041","3.15970609248483","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1000","0.03","0.0270322531716387","5E-11","50","10","197.67057401879","1.07015005059508E-09","1070.15005059508","3.15970609248483","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","0.5","0.1","0.0901075105721291","1E-11","10","10","8.36133875432868","1.50888873831349E-10","150.888873831349","0.18958236554909","True","screened signal remains above threshold"
"low_ionic_strength","9.6","1","1","0.1","0.0901075105721291","1E-11","10","10","16.0514034804785","2.89663924132739E-10","289.663924132739","0.18958236554909","True","screened signal remains above threshold"
